Feature	Score	Category
NtProtectVirtualMemory	26.6	Kernal Management
LdrGetProcedureAddress	26.2	System Management
LdrLoadDll	26	System Management
NtAllocateVirtualMemory	25.9	Kernal Management
NtClose	25.5	System Management
GetSystemTimeAsFileTime	23	System Information
NtOpenKey	19	Registry Operations
NtFreeVirtualMemory	18	Kernal Management
CreateToolhelp32Snapshot	17	System Management
NtQueryValueKey	16	Registry Operations
LdrGetDllHandle	15	System Management
Module32FirstW	14	System Management
SetErrorMode	13.2	Error Handling
NtDeviceIoControlFile	12.8	Input/Output Control
NtCreateMutant	12.8	Process Management
NtCreateSection	12.6	Kernal Management
CreateProcessInternalW	12.4	Process Management
LdrUnloadDll	12.3	System Management
NtMapViewOfSection	12.2	Kernel Management
WSAStartup	12.1	Network Management
LoadStringW	11.9	Resource Management
GetSystemInfo	11.8	System Information
NtResumeThread	11.8	Thread Management
GetFileSize	11.5	File System
NtDelayExecution	11.4	Process Management
NtUnmapViewOfSection	11	Kernel Management
RegQueryValueExW	10.6	Registry Operations
GetFileAttributesW	10.3	File System
closesocket	10.3	Network Management
GetSystemMetrics	9.9	System Information
NtQuerySystemInformation	9.8	System Information
NtGetContextThread	9.7	Thread Management
NtOpenKeyEx	9.4	Registry Operations
FindResourceExW	9.4	Resource Management
NtSetContextThread	9.4	Thread Management
NtCreateFile	9.2	File System
WSASocketW	9.19	Network Management
FindFirstFileExW	9.18	File System
ReadProcessMemory	9.12	Memory Management
RegCloseKey	9.1	Registry Operations
NtReadFile	8.85	File System
FindResourceA	8.8	Resource Management
SetUnhandledExceptionFilter	8.74	Error Handling
WriteProcessMemory	8.74	Memory Management
FindResourceExA	8.63	Resource Management
GetFileType	8.6	File System
GetVolumePathNamesForVolumeNameW	8.19	System Information
NtSetInformationFile	8	File System
GetSystemDirectoryW	7.94	System Information
LookupPrivilegeValueW	7.91	Security
